strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/SouthAfrica/NCV1046/2022	betacoronavirus	EPI_ISL_12043230	?	2022-03-25	Africa	South Africa	Gauteng	Sedibeng	Africa	South Africa	Gauteng	genome	29705	Human	30	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1047/2022	betacoronavirus	EPI_ISL_12043231	?	2022-03-25	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29708	Human	60	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1050/2022	betacoronavirus	EPI_ISL_12043234	?	2022-03-25	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29708	Human	26	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1053/2022	betacoronavirus	EPI_ISL_12043236	?	2022-03-29	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29708	Human	30	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1055/2022	betacoronavirus	EPI_ISL_12043238	?	2022-03-29	Africa	South Africa	Gauteng	City of Johannesburg Metro Region F	Africa	South Africa	Gauteng	genome	29708	Human	42	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1058/2022	betacoronavirus	EPI_ISL_12043241	?	2022-03-30	Africa	South Africa	Gauteng	City of Johannesburg Metro Region F	Africa	South Africa	Gauteng	genome	29708	Human	40	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1060/2022	betacoronavirus	EPI_ISL_12043243	?	2022-03-30	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29595	Human	32	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1061/2022	betacoronavirus	EPI_ISL_12043244	?	2022-03-29	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29708	Human	36	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1079/2022	betacoronavirus	EPI_ISL_12043260	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29708	Human	32	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1080/2022	betacoronavirus	EPI_ISL_12043261	?	2022-04-01	Africa	South Africa	Gauteng	City of Johannesburg Metro Region F	Africa	South Africa	Gauteng	genome	29708	Human	29	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1082/2022	betacoronavirus	EPI_ISL_12043263	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29708	Human	37	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1083/2022	betacoronavirus	EPI_ISL_12043264	?	2022-04-01	Africa	South Africa	Gauteng	City of Johannesburg Metro Region F	Africa	South Africa	Gauteng	genome	29708	Human	3	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1084/2022	betacoronavirus	EPI_ISL_12043265	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29708	Human	36	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1085/2022	betacoronavirus	EPI_ISL_12043266	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29708	Human	37	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1086/2022	betacoronavirus	EPI_ISL_12043267	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29708	Human	35	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1087/2022	betacoronavirus	EPI_ISL_12043268	?	2022-04-01	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29708	Human	28	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1088/2022	betacoronavirus	EPI_ISL_12043269	?	2022-04-01	Africa	South Africa	Gauteng	City of Johannesburg Metro	Africa	South Africa	Gauteng	genome	29708	Human	57	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1089/2022	betacoronavirus	EPI_ISL_12043270	?	2022-04-02	Africa	South Africa	Gauteng	City of Johannesburg Metro	Africa	South Africa	Gauteng	genome	29708	Human	30	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1090/2022	betacoronavirus	EPI_ISL_12043271	?	2022-04-01	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29708	Human	62	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1091/2022	betacoronavirus	EPI_ISL_12043272	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region F	Africa	South Africa	Gauteng	genome	29705	Human	28	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1092/2022	betacoronavirus	EPI_ISL_12043273	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29708	Human	28	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1097/2022	betacoronavirus	EPI_ISL_12043278	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region G	Africa	South Africa	Gauteng	genome	29708	Human	31	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1098/2022	betacoronavirus	EPI_ISL_12043279	?	2022-03-30	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29708	Human	44	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1099/2022	betacoronavirus	EPI_ISL_12043280	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29699	Human	31	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1100/2022	betacoronavirus	EPI_ISL_12043281	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29708	Human	33	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1102/2022	betacoronavirus	EPI_ISL_12043283	?	2022-04-01	Africa	South Africa	Gauteng	City of Johannesburg Metro Region F	Africa	South Africa	Gauteng	genome	29708	Human	69	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1106/2022	betacoronavirus	EPI_ISL_12043286	?	2022-04-01	Africa	South Africa	Gauteng	City of Johannesburg Metro Region E	Africa	South Africa	Gauteng	genome	29708	Human	25	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1108/2022	betacoronavirus	EPI_ISL_12043288	?	2022-04-07	Africa	South Africa	Gauteng	City of Johannesburg Metro Region F	Africa	South Africa	Gauteng	genome	29702	Human	31	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1109/2022	betacoronavirus	EPI_ISL_12043289	?	2022-04-07	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29708	Human	58	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1111/2022	betacoronavirus	EPI_ISL_12043291	?	2022-04-07	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29708	Human	26	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1112/2022	betacoronavirus	EPI_ISL_12043292	?	2022-04-01	Africa	South Africa	Gauteng	City of Johannesburg Metro Region F	Africa	South Africa	Gauteng	genome	29708	Human	23	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1113/2022	betacoronavirus	EPI_ISL_12043293	?	2022-04-01	Africa	South Africa	Gauteng	City of Johannesburg Metro Region B	Africa	South Africa	Gauteng	genome	29704	Human	49	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/SouthAfrica/NCV1117/2022	betacoronavirus	EPI_ISL_12043296	?	2022-03-31	Africa	South Africa	Gauteng	City of Johannesburg Metro Region C	Africa	South Africa	Gauteng	genome	29708	Human	28	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-14	?
hCoV-19/England/LSPA-3D312CE/2022	betacoronavirus	EPI_ISL_12067585	?	2022-04-07	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-04-15	?
hCoV-19/Belgium/ULB-IBC_CV8449018581/2022	betacoronavirus	EPI_ISL_12086839	?	2022-04-07	Europe	Belgium	Region Bruxelles-Capitale	Forest	Europe	Belgium	Region Bruxelles-Capitale	genome	29637	Human	52	Female	?	BA.4	GRA	National Platform bis COVID ULB-IBC	National Platform bis COVID ULB-IBC	Ricardo De Mendonça, Marie-Luce Delforge, Arnaud Marchant, Coralie Henin, Benoit Haerlingen	https://www.gisaid.org/	?	?	2022-04-16	?
hCoV-19/SouthAfrica/CERI-KRISP-K039663/2022	betacoronavirus	EPI_ISL_12097314	?	2022-04-06	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29732	Human	42	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039665/2022	betacoronavirus	EPI_ISL_12097316	?	2022-04-06	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29731	Human	27	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039666/2022	betacoronavirus	EPI_ISL_12097317	?	2022-04-06	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29763	Human	29	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039672/2022	betacoronavirus	EPI_ISL_12097323	?	2022-04-06	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29717	Human	24	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039681/2022	betacoronavirus	EPI_ISL_12097330	?	2022-04-05	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29600	Human	39	Male	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039683/2022	betacoronavirus	EPI_ISL_12097332	?	2022-04-05	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29734	Human	26	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039690/2022	betacoronavirus	EPI_ISL_12097337	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29690	Human	68	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039701/2022	betacoronavirus	EPI_ISL_12097343	?	2022-04-01	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29744	Human	18	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039702/2022	betacoronavirus	EPI_ISL_12097344	?	2022-04-01	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29603	Human	27	Male	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039706/2022	betacoronavirus	EPI_ISL_12097346	?	2022-04-01	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29730	Human	22	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039709/2022	betacoronavirus	EPI_ISL_12097349	?	2022-04-01	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29603	Human	49	Male	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039712/2022	betacoronavirus	EPI_ISL_12097352	?	2022-03-31	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29604	Human	63	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039713/2022	betacoronavirus	EPI_ISL_12097353	?	2022-03-31	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29748	Human	28	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039714/2022	betacoronavirus	EPI_ISL_12097354	?	2022-03-30	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29628	Human	61	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039717/2022	betacoronavirus	EPI_ISL_12097357	?	2022-03-19	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29692	Human	81	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/SouthAfrica/CERI-KRISP-K039815/2022	betacoronavirus	EPI_ISL_12097391	?	2022-04-07	Africa	South Africa	KwaZulu Natal	eThekwini	Africa	South Africa	KwaZulu Natal	genome	29687	Human	32	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Nokukhanya Mdlalose, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
